Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,10,419.8,375.8,3758,-440,-10.48,4.99
ALOKTEXT,224,5.51,55.6,12454.4,11220.95,909.72,0
ANDHRAPET,33,25.15,21.15,697.95,-131.9,-15.89,0
ASHOKA,17,71.19,62.25,1058.25,-151.95,-12.56,0
ASHOKLEY,71,76.4,49.15,3489.65,-1934.45,-35.66,0
AXISBANK,1,413.75,428.5,428.5,14.75,3.56,0
BANKBARODA,50,46.5,50.75,2537.5,212.35,9.13,0
BEL,50,70.15,97.25,4862.5,1355.15,38.64,0
BHEL,300,29.57,38.65,11595,2724.85,30.72,0
BILENERGY,1625,1.56,1.21,1966.25,-564.22,-22.3,0
BIOCON,1,354.2,395.6,395.6,41.4,11.69,0.93
CADILAHC,3,322.13,366.35,1099.05,132.65,13.73,0.88
CAPPL,5,360.5,339.55,1697.75,-104.75,-5.81,0
COX&KINGS,700,2.46,2.11,1477,-245.6,-14.26,0
CPSEETF,450,20.16,17.91,8059.5,-1014.15,-11.18,0
DHANBANK,50,12.64,14,700,68.1,10.78,0
DISHTV,1000,8.18,8.6,8600,418.35,5.11,0
EDELWEISS,50,68.9,60.6,3030,-415.2,-12.05,0
ENGINERSIN,60,86.11,74.95,4497,-669.35,-12.96,0
EQUITAS,32,62.27,53.5,1712,-280.6,-14.08,0
EVEREADY,20,78.74,84.15,1683,108.25,6.87,0
EXCELINDUS,2,636.78,736.5,1473,199.45,15.66,0.12
FSL,52,47.74,36.8,1913.6,-568.65,-22.91,0
GAIL,10,93.29,104.9,1049,116.15,12.45,1.35
GLENMARK,8,540.3,432.7,3461.6,-860.8,-19.91,0
GOLDBEES,24,41.83,42.24,1013.76,9.9,0.99,0
GVKPIL,1000,3.95,3.07,3070,-878.55,-22.25,0
HAL,10,715.01,852.4,8524,1373.9,19.22,0
HCG,5,114.14,121.75,608.75,38.05,6.67,0
HDFCBANK,2,935.83,1074.2,2148.4,276.75,14.79,0
HDFCLIFE,1,495.95,572.15,572.15,76.2,15.36,0
ICICIBANK,4,315.2,361,1444,183.2,14.53,-0.51
ICICINIFTY,3,95.52,111.8,335.4,48.83,17.04,0
ICICINV20,4,49.54,53.22,212.88,14.71,7.42,0
ICICINXT50,4,23.7,26.6,106.4,11.6,12.24,0
IDFCFIRSTB,240,30.63,26.8,6432,-920.25,-12.52,0
IEX,10,190.3,187.85,1878.5,-24.5,-1.29,0
INDUSINDBK,3,446.18,487.25,1461.75,123.2,9.2,0
INSECTICID,1,399.95,434.35,434.35,34.4,8.6,-0.06
IOB,80,11.55,11.15,892,-31.97,-3.46,0
IOC,10,81,87.85,878.5,68.5,8.46,0
IRCON,1,92.3,91.5,91.5,-0.8,-0.87,-0.16
ITI,5,99.5,111.95,559.75,62.25,12.51,0
J&KBANK,300,17.36,17.4,5220,13.15,0.25,0
JAICORPLTD,12,103.35,95.1,1141.2,-98.95,-7.98,0
JUNIORBEES,1,239.19,272.3,272.3,33.11,13.84,0
KSCL,1,364.85,581.4,581.4,216.55,59.35,0
KSK-BE,900,0.73,0.85,765,104.2,15.77,0
L&TFH,35,95.69,67.7,2369.5,-979.75,-29.25,0
LT,2,891.65,944.5,1889,105.7,5.93,0
MIDHANI,6,203.02,213.25,1279.5,61.4,5.04,0
NAM-INDIA,1,245.25,313.8,313.8,68.55,27.95,0
NBCC,120,28.34,24.4,2928,-473,-13.91,0
NEWGEN,65,176.43,148,9620,-1848.1,-16.12,0
NHPC,25,20.9,20.7,517.5,-4.9,-0.94,0
NTPC,20,91.3,94.5,1890,63.95,3.5,0
PCJEWELLER,30,18.43,16.7,501,-52,-9.4,0
PFC,3,118.17,84.25,252.75,-101.75,-28.7,0
PIDILITIND,1,1467,1389.8,1389.8,-77.2,-5.26,0
PNB,170,45.7,35.95,6111.5,-1657.85,-21.34,0
RALLIS,2,230.85,272.9,545.8,84.1,18.22,-0.02
RCOM,400,2.39,1.94,776,-180.9,-18.9,0
RUCHI,6,792.45,1176,7056,2301.3,48.4,0
RVNL,292,24.38,19.9,5810.8,-1308.85,-18.38,0
SBICARD,1,540.95,674.85,674.85,133.9,24.75,0
SBILIFE,1,750,844.05,844.05,94.05,12.54,0
SBIN,16,200.47,184.75,2956,-251.55,-7.84,0
SOUTHBANK,70,7.33,8.13,569.1,56,10.91,0
STARCEMENT,7,106.75,90.4,632.8,-114.45,-15.32,0
STRTECH*,91,147.66,128.05,11652.55,-1784.7,-13.28,0
SUNPHARMA*,4,399.2,476.9,1907.6,310.8,19.46,0
SUPRAJIT,1,122.35,152.65,152.65,30.3,24.77,0
SUZLON,50,4.66,5.9,295,62,26.61,0
TATACHEM,2,263.5,308.65,617.3,90.3,17.13,0
TINPLATE,30,104.82,118.65,3559.5,414.85,13.19,0
TRIDENT,200,5.51,6.87,1374,271.2,24.59,0
TV18BRDCST,3,33.43,35.05,105.15,4.85,4.84,0
UCOBANK,220,17.6,14.42,3172.4,-699.55,-18.07,0
UJAAS,3,5.25,8.56,25.68,9.93,63.05,0
UNIPLY,220,7.55,7.1,1562,-98.95,-5.96,0
VIKASPROP,400,3.9,3.8,1520,-40,-2.56,0
